CMDLINE /home/simon/Documents/Geek/docker_engine/mem_profiler/.venv/bin/python main.py
MEM 46.875000 1734432151.2708
MEM 46.875000 1734432151.3711
MEM 47.000000 1734432151.4715
MEM 47.000000 1734432151.5718
MEM 47.125000 1734432151.6721
MEM 47.125000 1734432151.7725
MEM 47.250000 1734432151.8728
MEM 47.250000 1734432151.9731
MEM 47.375000 1734432152.0734
MEM 47.375000 1734432152.1738
MEM 47.500000 1734432152.2741
MEM 47.500000 1734432152.3745
MEM 47.625000 1734432152.4748
MEM 47.625000 1734432152.5752
MEM 47.750000 1734432152.6760
MEM 47.750000 1734432152.7764
MEM 47.875000 1734432152.8767
MEM 47.875000 1734432152.9771
MEM 47.875000 1734432153.0776
MEM 47.875000 1734432153.1779
MEM 48.000000 1734432153.2787
MEM 48.000000 1734432153.3791
MEM 48.125000 1734432153.4794
MEM 48.125000 1734432153.5798
MEM 48.125000 1734432153.6801
MEM 48.250000 1734432153.7804
MEM 48.250000 1734432153.8807
MEM 48.375000 1734432153.9810
MEM 48.375000 1734432154.0813
MEM 48.500000 1734432154.1817
MEM 48.625000 1734432154.2820
MEM 48.625000 1734432154.3823
MEM 48.750000 1734432154.4826
MEM 48.750000 1734432154.5829
MEM 48.875000 1734432154.6833
MEM 48.875000 1734432154.7837
MEM 49.000000 1734432154.8839
MEM 49.000000 1734432154.9843
MEM 49.125000 1734432155.0846
MEM 49.125000 1734432155.1849
MEM 49.125000 1734432155.2852
MEM 49.250000 1734432155.3855
MEM 49.250000 1734432155.4858
MEM 49.375000 1734432155.5861
MEM 49.375000 1734432155.6864
MEM 49.500000 1734432155.7867
MEM 49.500000 1734432155.8870
MEM 49.500000 1734432155.9873
MEM 49.625000 1734432156.0876
MEM 49.625000 1734432156.1879
MEM 49.750000 1734432156.2882
MEM 49.750000 1734432156.3886
MEM 49.875000 1734432156.4889
MEM 49.875000 1734432156.5892
MEM 50.000000 1734432156.6895
MEM 50.000000 1734432156.7898
MEM 50.125000 1734432156.8901
MEM 50.125000 1734432156.9904
MEM 50.125000 1734432157.0908
MEM 50.250000 1734432157.1911
MEM 50.250000 1734432157.2915
MEM 50.375000 1734432157.3922
MEM 50.375000 1734432157.4928
MEM 50.500000 1734432157.5931
MEM 50.500000 1734432157.6935
MEM 50.625000 1734432157.7939
